Dataset,DATASET_ID,PLATFORM,TITLE,SUMMARY,TAXON,DATASET_TYPE,PUBMED,Website,Sample Number,AGE,ALCOHOL,RECURRENT,OS,Grade,HPV+,HPV-,Race,Gender,Smoking,Stage M,Stage N,Stage T,TUMOR_SITE|HYPOPHARYNX,TUMOR_SITE|LARYNX,TUMOR_SITE|ORAL CAVITY,TUMOR_SITE|OROPHARYNX,Non_empty,Info
GSE6791,200006791,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Gene Expression Profiles of HPV-Positive and -Negative Head/Neck and Cervical Cancers,Human papillomaviruses (HPVs) are associated with nearly all cervical cancers (CCs) 20-30% of head and neck cancers (HNCs) and other cancers. Because HNCs also arise in HPV-negative patients this type of cancer provides unique opportunities to define similarities and differences of HPV-positive versus HPV-negative cancers arising in the same tissue.  Here we describe genome-wide expression profiling of 84 HNCs CCs and site-matched normal epithelial samples in which we used laser capture microdissection to enrich samples for tumor-derived versus normal epithelial cells.  This analysis revealed that HPV+HNCs and CCs differed in their patterns of gene expression yet shared many changes compared to HPV-HNCs. Some of these shared changes were predicted but many others were not. Notably HPV+HNCs and CCs were found to be upregulated in their expression of a distinct and larger subset of cell cycle genes than observed in HPV-HNC.  Moreover HPV+ cancers over-expressed testis-specific genes that are normally expressed only in meiotic cells.  Many though not all of the hallmark differences between HPV+HNC and HPV-HNC were a direct consequence of HPV and in particular the viral E6 and E7 oncogenes. This included a novel association of HPV oncogenes with testes specific gene expression. These findings in primary human tumors provide novel biomarkers for early detection of HPV+ and HPV- cancers and emphasize the potential value of targeting E6 and E7 function alone or combined with radiation and/or traditional chemotherapy in the treatment of HPV+ cancers. Keywords: Gene expression ptofiles of primary cancers,Homo sapiens,Microarray,17510386,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6791,56,Y,,,,Y,,,,Y,,,,,Y,Y,Y,Y,7,
GSE109756,200109756,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Gene expression profiling after cetuximab treatment of HNSCC tumors,To investigate if cetuximab induces epithelial to mesenchymal transition (EMT) and activation of cancer associated fibroblast (CAF) in the tumors of patients with squamous cell carcinoma of the head and neck (SCCHN). Cetuximab was administered for two weeks prior to surgery to 20 treatment-naïve patients (CHIRON study). Five untreated patients were included as controls. Tumor biopsies were performed at baseline and before surgery. Gene expression profiles and quantitative real-time PCR (qRT-PCR) analysis of the pre-and post-treatment biopsies were compared. To further investigate EMT and CAF correlations between previously described EMT and CAF markers and our microarray data set were calculated.,Homo sapiens,Microarray,26437222,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109756,34,,Y,,,,,,,,Y,Y,Y,Y,,Y,Y,,7,
GSE2280,200002280,[HG-U133A] Affymetrix Human Genome U133A Array;,Prediction of lymphatic metastasis from primary squamous cell carcinoma of the oral cavity,Metastasis via the lymphatics is a major risk factor in squamous cell carcinoma of the oral cavity (OSCC). We sought to determine whether the presence of metastasis in the regional lymph node could be predicted by a gene expression signature of the primary tumor. A total of 18 OSCCs were characterized for gene expression by hybridizing RNA to Affymetrix U133A gene chips. Genes with differential expression were identified using a permutation technique and verified by quantitative RT-PCR and immunohistochemistry. A predictive rule was built using a support vector machine and the accuracy of the rule was evaluated using crossvalidation on the original data set and prediction of an independent set of four patients. Metastatic primary tumors could be differentiated from nonmetastatic primary tumors by a signature gene set of 116 genes. This signature gene set correctly predicted the four independent patients as well as associating five lymph node metastases from the original patient set with the metastatic primary tumor group. We concluded that lymph node metastasis could be predicted by gene expression profiles of primary oral cavity squamous cell carcinomas. The presence of a gene expression signature for lymph node metastasis indicates that clinical testing to assess risk for lymph node metastasis should be possible. Keywords = oral carcinoma lymphatic metastasis predict Keywords: repeat sample,Homo sapiens,Microarray,15558013,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2280,27,Y,,,,,,,Y,Y,,,Y,Y,,Y,Y,,7,
GSE30788,200030788,Agendia_HN_dedicated;Agendia_DiscoverPrint_HN;,Validation of an expression signature for lymph node metastasis detection in oral cavity squamous cell carcinoma,Validation of a previously established gene expression profile for detection of lymph node metastasis (ArrayExpress E-UMCU-11).,Homo sapiens,Microarray,23045589,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30788,316,Y,,,,Y,,,,Y,,,Y,Y,,,Y,Y,7,
GSE40774,200040774,Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Probe Name version);,Integrative genomic analysis identifies clinically relevant subtypes of head and neck cancer characterized by hypoxia T-cell infiltration and EMT,Current classification of head and neck squamous cell carcinomas (HNSCC) based on anatomic site and clinical stage fails to capture biologic heterogeneity or adequately inform treatment. Here we use consensus clustering on 371 HNSCC in three cohorts including a new cohort of 134 patients with locoregionally advanced HNSCC and 43% HPV(+) tumors to identify five HNSCC subtypes. Subtypes closely correlate with biologic processes (hypoxia cytotoxic T-cell infiltration copy number changes EGFR/HER-ligand phenotype) survival and HPV-status. Two biologically distinct HPV-associated subtypes are identified. Gene modules of candidate drivers characterize each subtype using the CONEXIC algorithm. The proposed 5-subtype classification provides a biologic basis for future clinical and preclinical studies and lays the groundwork for improved prognostication and therapy development in HNSCC.,Homo sapiens,Microarray,25492084,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40774,134,,,,,,Y,Y,,Y,,,,,Y,Y,Y,Y,7,
GSE3524,200003524,[HG-U133A] Affymetrix Human Genome U133A Array;,Association b/w gene expression profile & tumor invasion in OSCC,There are limited studies attempting to correlate the expression changes in oral squamous cell carcinoma with clinically relevant variables. We determined the gene expression profile of 16 tumor and 4 normal tissues from 16 patients by means of Affymetrix Hu133A GeneChips. The hybridized RNA was isolated from cells obtained with laser capture microdissection then was amplified and labeled using T7 polymerase-based in vitro transcription. The expression of 53 genes was found to differ significantly (33 upregulated 20 downregulated) in normal versus tumor tissues under two independent statistical methods. The expression changes in four selected genes (LGALS1 MMP1 LAGY and KRT4) were confirmed with reverse transcriptase polymerase chain reaction. Two-dimensional hierarchical clustering of the 53 genes resulted in the samples clustering according to the extent of tumor infiltration: normal epithelial tissue tumors less than or equal to 4 cm in dimension and tumors more than 4 cm in dimension (P=0.0014). The same pattern of clustering was also observed for the 20 downregulated genes. We did not observe any associations with lymph node metastasis (P=0.097).  Keywords: TNMTumor-node-metastasis LCMLaser capture microdissection OSCCOral squamous cell Carcinoma,Homo sapiens,Microarray,15381369,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3524,20,Y,,,,,,,,Y,,Y,Y,Y,,,Y,,6,
GSE26549,200026549,[HuGene-1.0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version];,Gene Expression Profiling Predicts the Development of Oral Cancer,Patients with oral preneoplastic lesion (OPL) have high risk of developing oral cancer. Although certain risk factors such as smoking status and histology are known our ability to predict oral cancer risk remains poor.  The study objective was to determine the value of gene expression profiling in predicting oral cancer development. Gene expression profile was measured in 86 of 162 OPL patients who were enrolled in a clinical chemoprevention trial that used the incidence of oral cancer development as a prespecified endpoint. The median follow-up time was 6.08 years and 35 of the 86 patients developed oral cancer over the course. Gene  expression profiles were associated with oral cancer-free survival and used to develope multivariate predictive models for oral cancer prediction. We developed a 29-transcript predictive model which showed marked improvement in terms of prediction accuracy (with 8% predicting error rate) over the models using previously known clinico-pathological risk factors. Based on the gene expression profile data we also identified 2182 transcripts significantly associated with oral cancer risk associated genes (P-value<0.01 single variate Cox proportional hazards model). Functional pathway analysis revealed proteasome machinery MYC and ribosomes components as the top gene sets associated with oral cancer risk. In multiple independent datasets the expression profiles of the genes can differentiate head and neck cancer from normal mucosa.  Our results show that gene expression profiles may improve the prediction of oral cancer risk in OPL patients and the significant genes identified may serve as potential targets for oral cancer chemoprevention.,Homo sapiens,Microarray,21292635,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26549,86,Y,Y,,,,,,Y,Y,Y,,,,,,Y,,6,Oral leukoplakia
E-MTAB-1328,278252,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Methylome transcriptome and miRNome profiling by array and high throughput sequencing of 89 patients with head and neck squamous cell carcinoma,"A Cartes d'Identite des Tumeurs (CIT) project from the french Ligue Nationale Contre le Cancer (<a href=""http://cit.ligue-cancer.net"" target=""_blank"">http://cit.ligue-cancer.net</a>); Integrative study based on 89 patients with Head and Neck Squamous Cell Carcinoma (HNSCC); 89 Affymetrix HG-U133 Plus 2.0 GeneChips arrays;  88 samples on HumanCNV370-Quad GeneChips arrays; 84 samples on Illumina Human Methylation 27K arrays;Micro-RNA sequencing of  64 tumors. Please note: Characteristics[MetastasisFreeSurvivalEvent] indicates if there is a metastasis-free survival for a particular sample / patient (it is like an event-free survival variable where the event considered is a metastasis).  Characteristics[MetastasisFreeSurvivalDelay] - whenever the MetastasisFreeSurvivalEvent is 1 gives the duration of the metastasis-free survival period in months.",Homo sapiens,Microarray,23757353,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1328,89,Y,,,,,,,,Y,,,,Y,,Y,Y,Y,6,
GSE84846,200084846,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version);,Integration of molecular gene signatures with clinicopathological variables improves staging and outcome prediction of oral cancer.,The aim of this study is to identify and validate clinically implementable gene signatures for outcome prediction of patients with oral squamous cell carcinoma.,Homo sapiens,Microarray,28938638,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84846,99,Y,,Y,,,,,,Y,,,Y,Y,,,Y,,6,
GSE51985,200051985,Illumina HumanHT-12 V4.0 expression beadchip;,Microarray gene expression analysis of tumorigenesis and regional lymph node metastasis in laryngeal squamous cell carcinoma,Objective: The purpose of this study was to investigate the molecular basis of tumorigenesis and regional lymph node metastasis in LSCC and provide a set of genes that may be useful for the development of novel diagnostic markers and/or more effective therapeutic strategies.  Methods: A total number of 10 patients who underwent surgery for primary laryngeal squamous cell carcinoma were recruited for microarray analysis. LSCC tissues compared with corresponding adjacent non-neoplastic tissues were analysed by Illumina mRNA microarraysand LSCC tissues with regional lymph node metastasis and LSCC tissues without regional lymph node metastasis were analyzed in the same manner.The most frequently differently expressed genes screened by microarrays were also validated by qRT-PCR in another 42 patients diagnosed for LSCC .  Results: Analysed by Illumina mRNA microarraysthere were 361 genes significantly related to tumorigenesis while 246 genes significantly related to regional lymph node metastasis in LSCC. We found that the six genes (CDK1CDK2CDK4MCM2MCM3MCM4) were most frequently differently expressed functional genes related to tumorigenesis while eIF3a and RPN2 were most frequently differently expressed functional genes related to regional lymph node metastasis in LSCC. The expressions of these genes were also validated by qRT-PCR.  Conclusions: The research revealed a gene expression signature of tumorigenesis and regional lymph node metastasis in laryngeal squamous cell carcinoma.Of the total the deregulation of several genes (CDK1 CDK2 CDK4 MCM2 MCM3 MCM4 EIF3a and RPN2) were potentially associated with disease development and progression. The result will contribute to the understanding of the molecular basis of LSCC and help to improve diagnosis and treatment.,Homo sapiens,Microarray,24386425,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51985,20,Y,,,,,,,,Y,,Y,Y,Y,,Y,,,6,
GSE34105,200034105,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip;,Gene expression profiling of archival tongue carcinoma and normal tongue tissue (all samples),RNA extracted from 78 FFPE tongue samples 62 tongue carcinomas and 16 non-malignant controls were succesfully analysed using the whole genome DASL array to obtain gene expression profiles. Gene expression profiles were used to identify differentially expressed genes with the ultimate goal of finding out their importance for tongue cancer development and maintenance. Sample were formalin fixed paraffin embedded biopsies taken for diagnostic purposes and had been stored between 1 and 13 years. Because of the general poor quality of RNA from archival samples a special focus were put on its effect on the detected expression levels. 28 tumours and 16 controls with a CTdiff&lt; 5 were selected for differential gene expression analysis. Data for only these sample were normalized again and can be found in seperate data file.,Homo sapiens,Microarray,22530001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE34105,78,Y,,,,,,,,Y,,Y,Y,Y,,,Y,,6,Use series matrix (no gsm id in the expression and cannot be mapped to clinical file)
GSE41613,200041613,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,A 13-gene signature prognostic of HPV-negative OSCC: discovery and external validation,OSCC is associated with substantial mortality and morbidity. In this study we built on our previous molecular work to identify and validate a prognostic 13-gene signature that showed a higher ability than tumor stage in predicting survival for patients with HPV-negative oral squamous cell carcinoma (OSCC).,Homo sapiens,Microarray,23319825,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41613,97,Y,,,Y,,,Y,,Y,,,,,,,Y,,5,
GSE85195,200085195,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version);,Gene Expression analysis of Oral Leukoplakia and Early Stage Oral Squamous Cell Carcinoma,Gene Expression Profiling of Oral Leukoplakia (OPL) and Early Stage Oral Squamous Cell Carcinoma (OSCC) was performed to delineate candidate gene/s clusters with potential to distinguish normal OPL and tumor tissue from Gingivobuccal complex. All tissue samples were collected after obtaining written informed consent. The RNA profile of 15 OPL and 34 OSCC samples was compared with 1 independent controls Gingivobuccal complex tissue from healthy donors.,Homo sapiens,Microarray,28433800,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85195,50,Y,,,,Y,,,,Y,,,,Y,,,Y,,5,
GSE55544,200055544,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version);,Gene expression profiling of European American HPV-active  HPV-inactive and HPV-negative oral and oropharyngeal cancers,Approximately 25% of all head and neck cancers (HNC) and up to 60% of oropharyngeal cancers (OPC) are associated with human papillomavirus (HPV) predominantly HPV16. HPV-associated OPC have better prognosis and a more favorable response to therapy as compared to HPV-negative tumors. Viral oncoproteins are capable of transforming primary human keratinocytes from either genital or oral epithelia in vitro and most likely play the same role in vivo by disrupting cell-cycle regulatory pathways leading to a genetic progression to ano-genital cancer and OPC. However the precise mechanisms by which HPV mediates malignant transformation of keratinocytes in the upper digestive tract epithelia are not entirely clear.  HPV E7-mediated inactivation of pRb results in overexpression of p16INK4A which is commonly used as a clinical surrogate marker for HPV positivity/activity. However high p16INK4A alone has insufficient sensitivity and specificity as a biomarker of HPV positivity in different mucosal sub-sites of HNC. Therefore increasing emphasis is being placed on the assessment of viral load and E7 oncogene expression resulting in further classification of HPV positive OPC as HPV-active and HPV-inactive. Differences in risk factors age of presentation clinical behavior and gene expression profiles indicate that HPV-positive and HPV-negative tumors develop via different molecular mechanisms and are biologically distinct. According to some reports the rate of HPV-associated tumors is much lower in AA patients as compared to EA patients in United States. This study aimed to compare the gene expression profiles of HPV-active -inactive and -negative OPCs from european american patients and determine their biological differences.,Homo sapiens,Microarray,25899179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55544,23,,,,,,Y,Y,Y,Y,,,,,,,,Y,5,
GSE55542,200055542,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version);,Gene expression profiling of HPV-active  HPV-inactive and HPV-negative oropharyngeal squamous cell carcinomas,Approximately 25% of all head and neck cancers (HNC) and up to 60% of oropharyngeal cancers (OPC) are associated with human papillomavirus (HPV) predominantly HPV16. HPV-associated OPC have better prognosis and a more favorable response to therapy as compared to HPV-negative tumors. Viral oncoproteins are capable of transforming primary human keratinocytes from either genital or oral epithelia in vitro and most likely play the same role in vivo by disrupting cell-cycle regulatory pathways leading to a genetic progression to ano-genital cancer and OPC. However the precise mechanisms by which HPV mediates malignant transformation of keratinocytes in the upper digestive tract epithelia are not entirely clear.  HPV E7-mediated inactivation of pRb results in overexpression of p16INK4A which is commonly used as a clinical surrogate marker for HPV positivity/activity. However high p16INK4A alone has insufficient sensitivity and specificity as a biomarker of HPV positivity in different mucosal sub-sites  of HNC. Therefore increasing emphasis is being placed on the assessment of viral load and E7 oncogene expression resulting in further classification of HPV positive OPC as HPV-active and HPV-inactive. Differences in risk factors age of presentation clinical behavior and gene expression profiles indicate that HPV-positive and HPV-negative tumors develop via different molecular mechanisms and are biologically distinct. This study aimed to compare the gene expression profiles of HPV-active -inactive and -negative OPC and determine their biological differences.,Homo sapiens,Microarray,25899179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55542,36,,,,,,Y,Y,Y,Y,,,,,,,,Y,5,
GSE55550,200055550,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version);,Gene expression profiles of oral and oropharyngeal cancers from European American and African American patients,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Microarray,25899179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55550,155,,,,,,Y,Y,Y,Y,,,,,,,,Y,5,
GSE686,200000686,Agilent Human 1 cDNA Microarray;,Gene Expression Profiles of Head and Neck Squamous Cell Carcinoma (HNSCC) primary tumors,60 fresh frozen HNSCC from the University of North Carolina at Chapel Hill (UNC) were obtained from the UNC Tissue Procurement Facility under an IRB approved protocol. 55 tumor samples were collected from the primary tumor and five tumor samples were collected from a local recurrence at the primary site; one tumor also had a sample of the primary tumor and an associated lymph node metastasis . In addition we profiled three normal tonsillar epithelium samples that were collected from three pediatric patients following routine tonsillectomy and four HNSCC tumor derived cell lines (UNC7 UMSCCA1 CAL27 and JHU022). Each experimental sample (tumor normal or cell line) was assayed versus a “common reference” sample that was a pool of total RNA derived from 30 of the HNSCC samples. This tumor pool reference strategy has been successfully used in another profiling study. In total 78 experiments were performed which utilized three separate preparations of the common reference pool.  Keywords = Head and neck cancer Keywords = gene expression profiles Keywords = microarray Keywords: parallel sample,Homo sapiens,Microarray,15144956,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE686,78,Y,,,,Y,,,,Y,,,,,,,,Y,4,using series matrix / weird normalization
GSE23558,200023558,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version);,Gene Expression Profiling of Oral Squamous Cell Carcinoma,Gene Expression Profiling of Oral Squamous Cell Carcinoma (OSCC) was performed to delineate candidate genes clusters with potential to distinguish normal and tumor tissue from oral cavity. All tissue samples were collected after obtaining written informed consent.,Homo sapiens,Microarray,22072328 28433800,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23558,32,Y,,,,Y,,,,Y,,,,,,,Y,,4,
